Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:24:04	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-107.146E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:23:53	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-5.5294125E-9	336.23707E-3	76.536346E+0	323.62280E-12	305.17578E+0	1.1651825E+0	-25.222555E+0	35.215116E-12	-195.84743E+0
-5.6470588E-9	352.92765E-3	89.697922E+0	281.49594E-12	303.13031E+0	1.1442795E+0	-41.689915E+0	40.881083E-12	-244.37471E+0
-5.7647052E-9	369.04499E-3	93.026871E+0	223.09612E-12	305.17578E+0	1.1244074E+0	5.0117755E+0	8.1977350E-12	-126.46844E+0
-5.8823533E-9	373.88763E-3	90.073196E+0	124.84262E-12	297.01083E+0	1.1098831E+0	-82.024986E+0	15.597438E-12	-194.88542E+0
-5.9999996E-9	390.71807E-3	95.012512E+0	108.99012E-12	297.71106E+0	1.0850718E+0	-75.706573E+0	25.210979E-12	-201.27864E+0
-6.1176477E-9	438.48723E-3	93.670242E+0	44.607307E-12	225.42429E+0	1.0381653E+0	-18.656452E+0	21.019013E-12	-166.18350E+0
-6.2352941E-9	509.14359E-3	67.908188E+0	35.289320E-12	233.32649E+0	1.0041845E+0	10.808400E+0	18.993229E-12	-182.85660E+0
-6.3529404E-9	564.02534E-3	67.384155E+0	38.401334E-12	230.64371E+0	1.0072988E+0	-40.076855E+0	19.005618E-12	-172.51085E+0
-6.4705885E-9	595.52354E-3	97.332138E+0	31.336558E-12	234.88251E+0	1.0037867E+0	-3.9576311E+0	19.554153E-12	-127.11082E+0
-6.5882348E-9	622.46144E-3	72.486107E+0	29.051948E-12	175.11647E+0	967.38434E-3	-4.4804778E+0	18.600035E-12	-114.23333E+0
-6.7058830E-9	689.20034E-3	-25.732834E+0	16.109492E-12	135.46817E+0	936.52797E-3	-16.709593E+0	34.272338E-12	-174.13730E+0
-6.8235293E-9	724.51067E-3	119.65994E+0	22.273797E-12	195.64458E+0	912.83011E-3	50.289299E+0	19.737391E-12	-121.31715E+0
-6.9411756E-9	713.02491E-3	66.287384E+0	11.753006E-12	154.01239E+0	879.84973E-3	-21.559650E+0	13.496792E-12	-160.15305E+0
-7.0588237E-9	710.22546E-3	54.102089E+0	19.369268E-12	179.40266E+0	849.34133E-3	9.5419741E+0	27.310439E-12	-150.64922E+0
-7.1764701E-9	703.44645E-3	29.953810E+0	25.233959E-12	129.08669E+0	840.86353E-3	20.079706E+0	26.780328E-12	-189.32283E+0
-7.2941182E-9	701.93177E-3	-29.912012E+0	31.350436E-12	90.298576E+0	831.58976E-3	-74.233025E+0	20.618248E-12	-219.40697E+0
-7.4117645E-9	675.36062E-3	57.893600E+0	23.457994E-12	107.37135E+0	797.00214E-3	-79.285950E+0	18.611512E-12	-181.39934E+0
-7.5294126E-9	640.27303E-3	-103.79072E+0	9.6818352E-12	95.582817E+0	759.80020E-3	-7.6979256E+0	14.728956E-12	-151.05350E+0
-7.6470590E-9	617.95449E-3	-127.39996E+0	23.053561E-12	76.985641E+0	726.87632E-3	-94.834061E+0	19.078848E-12	-218.92694E+0
-7.7647053E-9	600.42059E-3	-23.796267E+0	21.747324E-12	112.56773E+0	703.35239E-3	-17.395798E+0	15.476630E-12	-134.60057E+0
-7.8823534E-9	583.39745E-3	79.682014E+0	13.809228E-12	108.49361E+0	688.36468E-3	-32.207016E+0	27.519494E-12	-200.80853E+0
